文献号	是否转让	说明书页数	附图个数	文献引证数	专利引证数	引证本国专利数	引证外国专利数	专利类别	保护期	分类数	IPC大类数	IPC小类数	同族专利数	同族布局国家（地区）数	是否为PCT国际专利申请	是否为五国专利/四方专利	专利国别代码	申请日公开日时间间隔（年）	申请日授权日时间间隔	公开日授权日时间间隔	剩余有效期	是否有优先权	权项数	发明人数	申请人数	专利权人规模	申请人类型
CN201310409084.X	1	0.06557377	0.096774194	0.25	0.166666667	0.111111111	0.083333333	1	1	0.866666667	0.2	0.4	0.015625	0	1	1	0	0.111111111	0.333333333	0.8	0.785714286	1	0.040983607	0.111111111	0	0	1
CN201310409567.X	1	0.063934426	0.129032258	0	0	0	0	1	1	0.8	0.2	0.4	0	0	1	1	0	0.111111111	0.416666667	0.8	0.857142857	1	0.040983607	0.111111111	0	0	1
CN201180020099.6	1	0.285245902	0.247311828	0.25	0.25	0.333333333	0	1	1	0.066666667	0.2	0.2	0.359375	0.30952381	0	0	1	0.333333333	0.583333333	0.8	0.785714286	1	0.086065574	0.185185185	0.333333333	0	1
CN201280044834.1	1	0.044262295	0	0	0.166666667	0.111111111	0.083333333	1	1	0.2	0	0.2	0.5625	0.80952381	0	0	1	0.222222222	0.333333333	0.6	0.928571429	1	0.131147541	0.185185185	0	0	1
CN201280028984.3	1	0.052459016	0.096774194	0.375	0.083333333	0	0.083333333	1	1	0.066666667	0.2	0.2	0.125	0.166666667	0	0	1	0.222222222	0.416666667	0.6	0.785714286	1	0.106557377	0.111111111	0	0	1
CN201410114646.2	1	0.07704918	0.107526882	0	0.25	0.222222222	0.083333333	1	1	0.333333333	0.4	0.6	0.0625	0.095238095	0	0	0	0.111111111	0.25	0.4	0.785714286	1	0.040983607	0.074074074	0	0	1
CN201410035585.0	1	0.014754098	0.032258065	0.25	0.416666667	0.333333333	0.166666667	1	1	0	0	0	0	0	0	0	0	0	0.166666667	0.2	0.857142857	0	0.040983607	0.148148148	0	0	1
CN201210308892.2	1	0.006557377	0	0	0.25	0.333333333	0	1	1	0.133333333	0	0.2	0	0	0	0	0	0.222222222	0.25	0.4	0.857142857	0	0.016393443	0.074074074	0	0	1
CN201310436201.1	1	0.01147541	0.053763441	0.25	0.25	0.222222222	0.083333333	1	1	0	0	0	0	0	0	0	0	0.111111111	0.166666667	0.4	0.785714286	0	0.024590164	0	0.333333333	0	1
CN201310504033.5	1	0.019672131	0	0.25	0.333333333	0.444444444	0	1	1	0.266666667	0.2	0.4	0	0	0	0	0	0	0.25	0.4	0.857142857	0	0.032786885	0	0	0	1
CN201310461884.6	1	0.016393443	0	0	0.166666667	0.222222222	0	1	1	0.133333333	0	0.2	0	0	0	0	0	0	0.083333333	0.2	0.857142857	0	0.040983607	0.148148148	0	0	1
CN201310320965.4	1	0.044262295	0.129032258	0.125	0.166666667	0.111111111	0.083333333	1	1	0.466666667	0.4	0.6	0	0	1	0	0	0.111111111	0.25	0.4	0.857142857	1	0.06557377	0.037037037	0	0.333333333	1
CN201410405275.3	1	0.037704918	0.021505376	0.125	0.416666667	0.444444444	0.083333333	1	1	0	0	0	0	0	0	0	0	0	0.083333333	0.2	1	0	0.040983607	0.037037037	0	0.333333333	0.8
CN201310665447.6	1	0.040983607	0	0.125	0.5	0.444444444	0.166666667	1	1	0.533333333	0.2	0.2	0	0	0	0	0	0.111111111	0.25	0.4	0.857142857	0	0.069672131	0.037037037	0	0	1
CN201280053488.3	1	0.221311475	0	0.125	0.166666667	0	0.166666667	1	1	0.6	0.2	0.4	0.53125	0.714285714	0	0	1	0.222222222	0.333333333	0.4	0.928571429	1	0.139344262	0.148148148	0	0	0.6
CN201280054361.3	1	0.249180328	0.010752688	0	0.25	0.111111111	0.166666667	1	1	0.533333333	0.2	0.4	0.328125	0.452380952	0	0	1	0.222222222	0.416666667	0.6	0.928571429	1	0.12295082	0.296296296	0	0	0.6
CN201280027257.5	1	0.145901639	0	0.125	0.583333333	0.444444444	0.25	1	1	0.6	0.2	0.4	0.125	0.119047619	0	0	1	0.222222222	0.333333333	0.6	0.928571429	1	0.098360656	0.111111111	0	0	0.6
CN201280038931.X	1	0.068852459	0.021505376	0.25	0.166666667	0	0.166666667	1	1	0.2	0.2	0.4	0.078125	0.119047619	0	0	1	0.222222222	0.333333333	0.4	0.785714286	1	0.106557377	0.222222222	0	0	1
CN201280055398.8	1	0.103278689	0.150537634	0	0.25	0.111111111	0.166666667	1	1	0.333333333	0.2	0.2	0.359375	0.523809524	0	0	1	0.222222222	0.416666667	0.8	0.785714286	1	0.081967213	0.111111111	0	0	1
CN201280017015.8	1	0.11147541	0.129032258	0	0.083333333	0	0.083333333	1	1	0.133333333	0	0	0.28125	0.357142857	0	0	1	0.222222222	0.333333333	0.4	0.642857143	1	0.159836066	0.148148148	0.333333333	0	1
CN201280026418.9	1	0.142622951	0	0	0.25	0	0.25	1	1	0.866666667	0.2	0.4	0.171875	0.142857143	0	0	1	0.222222222	0.416666667	0.6	0.928571429	1	0.090163934	0.037037037	0	0	0.6
CN201280026853.1	1	0.145901639	0	0	0.166666667	0	0.166666667	1	1	0.066666667	0.2	0.2	0.109375	0.142857143	0	0	1	0.222222222	0.25	0.2	0.928571429	1	0.118852459	0.111111111	0	0	0.6
CN201280060939.6	1	0.054098361	0.129032258	0	0.166666667	0.111111111	0.083333333	1	1	0.2	0	0	0.09375	0.142857143	0	0	1	0.222222222	0.416666667	0.6	0.785714286	1	0.081967213	0.148148148	0	0	1
CN201280055976.8	1	0.029508197	0.064516129	0	0.666666667	0.555555556	0.25	1	1	0.133333333	0	0.2	0.0625	0.095238095	0	0	1	0.222222222	0.416666667	0.6	0.714285714	1	0.069672131	0.111111111	0.333333333	0	1
CN201180068472.5	1	0.059016393	0.225806452	0	0.5	0.222222222	0.333333333	1	1	0.066666667	0	0	0.0625	0.095238095	0	0	1	0.222222222	0.416666667	0.4	0.857142857	1	0.139344262	0	0	0	1
CN201280030844.X	1	0.039344262	0	0	0.25	0.222222222	0.083333333	1	1	0	0	0	0.046875	0.071428571	0	0	0	0.222222222	0.333333333	0.4	0.785714286	1	0.06557377	0.074074074	0	0	1
CN201210263908.2	1	0.016393443	0.032258065	0.25	0.5	0.333333333	0.25	1	1	0	0	0	0.015625	0.023809524	0	0	0	0.222222222	0.5	0.8	0.928571429	0	0.040983607	0.148148148	0.333333333	0	1
CN201410234509.2	1	0.029508197	0	0.375	0.166666667	0.222222222	0	1	1	0.2	0.2	0.2	0	0	0	0	0	0	0.25	0.6	0.857142857	0	0.045081967	0.259259259	0	0.333333333	1
CN201310184764.6	1	0.019672131	0.064516129	0.125	0.166666667	0.222222222	0	1	1	0.133333333	0	0.2	0	0	0	0	0	0.222222222	0.333333333	0.4	0.857142857	0	0.040983607	0.111111111	0.333333333	0	1
CN201410338034.1	1	0.013114754	0	0.125	0.416666667	0.111111111	0.333333333	1	1	0	0	0	0	0	0	0	0	0	0.083333333	0.2	0.857142857	0	0.032786885	0.333333333	0	0.333333333	1
CN201310476097.9	1	0.045901639	0.096774194	0.5	0.083333333	0.111111111	0	1	1	0.266666667	0.2	0.4	0	0	0	0	0	0	0.166666667	0.4	0.714285714	0	0.040983607	0	0	0.333333333	1
CN201210211812.1	1	0.055737705	0.139784946	0.25	0.166666667	0.222222222	0	1	1	0.2	0	0.4	0	0	0	0	0	0.222222222	0.5	1	0.642857143	0	0.049180328	0.259259259	0	0	1
CN201410386682.4	1	0.014754098	0.043010753	0.25	0.333333333	0.333333333	0.083333333	1	1	0.666666667	0.2	0.4	0	0	0	0	0	0	0.083333333	0.2	0.785714286	0	0.040983607	0.222222222	0	0	0.8
CN201410370728.3	1	0.029508197	0	0	0	0	0	1	1	0.4	0	0.2	0.375	0.5	0	0	1	0.555555556	0.583333333	0.6	0.642857143	1	0.06557377	0.111111111	0	0	1
CN201310737239.2	1	0.01147541	0	0.125	0.25	0.111111111	0.166666667	1	1	0	0	0	0	0	0	0	0	0	0.166666667	0.4	1	0	0.040983607	0.148148148	0	0	1
CN201410427405.3	1	0.018032787	0	0	0.416666667	0.555555556	0	1	1	0.133333333	0	0	0	0	0	0	0	0	0.333333333	0.6	0.928571429	0	0.040983607	0.148148148	0	0	1
CN201410234285.5	1	0.01147541	0	0.25	0.166666667	0.111111111	0.083333333	1	1	0.066666667	0	0.2	0	0	0	0	0	0	0.25	0.4	0.857142857	0	0.028688525	0.259259259	0	0.333333333	1
CN201310198952.4	1	0.013114754	0.010752688	0	0.416666667	0.333333333	0.166666667	1	1	0.066666667	0	0	0	0	0	0	0	0.111111111	0.25	0.4	0.785714286	0	0.024590164	0.148148148	0	0	1
CN201410322440.9	1	0.026229508	0	0.375	0.166666667	0.222222222	0	1	1	0.066666667	0	0.2	0	0	0	0	0	0	0.083333333	0.2	0.928571429	0	0.040983607	0.037037037	0	0	1
CN201410235202.4	1	0.016393443	0	0.25	0.416666667	0.111111111	0.333333333	1	1	0.066666667	0	0	0	0	0	0	0	0	0.25	0.4	0.857142857	0	0.049180328	0.259259259	0	0.333333333	1
CN201410231419.8	1	0.01147541	0	0.25	0.083333333	0.111111111	0	1	1	0.4	0	0.2	0	0	0	0	0	0	0.166666667	0.4	0.857142857	0	0.036885246	0.222222222	0	0	1
CN201410147858.0	1	0.019672131	0	0	0.5	0.666666667	0	1	1	0.066666667	0	0	0	0	0	0	0	0	0.083333333	0.2	1	0	0.040983607	0	0	0.333333333	1
CN201320530709.3	1	0.006557377	0.010752688	0	0	0	0	0.5	0	0.133333333	0.4	0.4	0	0	0	0	0	0.111111111	0.083333333	0	0.142857143	0	0.012295082	0	0	0	1
CN201310672104.2	1	0.01147541	0.043010753	0	0.5	0.666666667	0	1	1	0.133333333	0	0.2	0	0	0	0	0	0	0.166666667	0.4	0.714285714	0	0.012295082	0.074074074	0	0	1
CN201310664352.2	1	0.014754098	0.010752688	0.25	0.083333333	0.111111111	0	1	1	0.133333333	0.2	0.2	0	0	0	0	0	0	0.333333333	0.8	0.714285714	0	0.032786885	0	0	0.333333333	1
CN201410405737.1	1	0.032786885	0	0.5	0.25	0.333333333	0	1	1	0.133333333	0	0	0	0	0	0	0	0	0.083333333	0.2	1	0	0.032786885	0.037037037	0	0.333333333	0.8
CN201410404733.1	1	0.03442623	0	0	0	0	0	1	1	0.133333333	0	0	0	0	0	0	0	0	0.083333333	0.2	1	0	0.032786885	0.037037037	0	0.333333333	0.8
CN201430008776.9	1	0.008196721	0.064516129	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0	0.074074074	0	0	1
CN201720647429.9	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	0.6
CN201720634803.1	0	0.01147541	0.043010753	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	0.6
CN201720519604.6	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	0.6
CN201720519079.8	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.016393443	0	0	0	0.6
CN201720517997.7	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.016393443	0	0	0	0.6
CN201720642492.3	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	0.6
CN201721879000.9	0	0.014754098	0.096774194	0	0	0	0	0.5	0	0	0	0	0.015625	0	0	0	0	0.111111111	0.083333333	0	0.285714286	1	0.028688525	0.296296296	0.333333333	0.333333333	1
CN201720750304.9	0	0.01147541	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0.148148148	0	0	1
CN201720911925.0	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.008196721	0.074074074	0	0	1
CN201820079721.X	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.357142857	0	0.020491803	0.074074074	0	0	1
CN201721813224.X	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.2	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.074074074	0	0	1
CN201720851472.7	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.2	0	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.222222222	0	0	1
CN201820005416.6	0	0.008196721	0.043010753	0	0	0	0	0.5	0	0.2	0.2	0.4	0	0	0	0	0	0.111111111	0.083333333	0	0.357142857	0	0.024590164	0.037037037	0	0	1
CN201721760445.5	0	0.009836066	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0	0	0	0.6
CN201820374338.7	0	0.009836066	0.053763441	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.357142857	0	0.008196721	0.185185185	0.333333333	0.333333333	1
CN201820289218.7	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.357142857	0	0.024590164	0	0	0	1
CN201720744901.0	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.008196721	0	0	0	0.6
CN201720914940.0	0	0.009836066	0.043010753	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	0.6
CN201820010262.X	0	0.008196721	0.043010753	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.357142857	0	0.020491803	0	0	0	1
CN201721766503.5	0	0.009836066	0.043010753	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0.185185185	0	0	1
CN201720185883.7	0	0.006557377	0.010752688	0	0	0	0	0.5	0	0.133333333	0.4	0.4	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0.037037037	0	0	1
CN201720675850.0	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0	0	0	1
CN201820010041.2	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.357142857	0	0.020491803	0	0	0	1
CN201721690598.7	0	0.009836066	0.021505376	0	0	0	0	0.5	0	0.2	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.028688525	0	0	0	1
CN201721692605.7	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.266666667	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.024590164	0	0	0	1
CN201820176590.7	0	0.013114754	0.053763441	0	0	0	0	0.5	0	0.266666667	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.357142857	0	0.036885246	0	0	0	0.6
CN201721637234.2	0	0.008196721	0.021505376	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.020491803	0.148148148	0	0	1
CN201820015206.5	0	0.008196721	0.010752688	0	0	0	0	0.5	0	0.2	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.357142857	0	0.020491803	0.074074074	0	0	1
CN201720845385.0	0	0.019672131	0.043010753	0	0	0	0	0.5	0	0.133333333	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.040983607	0.111111111	0	0	0.8
CN201720845958.X	0	0.014754098	0.053763441	0	0	0	0	0.5	0	0.066666667	0.2	0.2	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.040983607	0.111111111	0	0	0.8
CN201721876226.3	0	0.02295082	0.139784946	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	1	0.020491803	0.296296296	0.333333333	0.333333333	1
CN201820107060.7	0	0.009836066	0.032258065	0	0	0	0	0.5	0	0.133333333	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.357142857	0	0.028688525	0	0	0	0.6
CN201720500264.2	0	0.014754098	0.064516129	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.040983607	0.111111111	0	0	0.8
CN201721837151.8	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.285714286	0	0.016393443	0	0	0	1
CN201820235323.2	0	0.006557377	0.021505376	0	0	0	0	0.5	0	0.066666667	0	0	0	0	0	0	0	0.111111111	0.083333333	0	0.357142857	0	0.020491803	0.074074074	0	0	1
